"Plot_Number","Rice_Cultivar","Experiment_Name","Nitrogen_Rate","Replicate","Yield","Heading_100","Thermal","NDWI","EVI","NAVI","GNDVI","Cigreen","RENDVI","TGI","SAVI","CI_RedEdge","BI","SCI","GLI","NGRDI","SI","VARI","HUE","BGI","PSRI","RVI","TVI","CVI","NDVI","DVI","NRCT","Vegetation_Fraction","contrast_90","dissimilarity_90","homogeneity_90","ASM_90","energy_90","correlation_90"
"33830","Tiara","Tiara",200,"3",6.854093464,74,31.8038845,-0.2964375,0.221806,0.524397,0.2964375,0.9437157,0.0898223,3.2957966,0.0935634,0.2211851,0.0908595,-0.0964502,0.1725696,0.0964502,0.168399,0.1419463,-0.0001446,0.5871426,-0.1049794,2.4639783,7.4330416,1.5594392,0.3743854,0.0355817,0.310833149,0.245454545,45.29292929,5.424242424,0.154744658,0.002136262,0.04621971,0.894993432
"33813","Tiara","Tiara",200,"1",6.773794461,76,31.4445724,-0.3943852,0.3024363,0.6120065,0.3943852,1.4547645,0.1749948,2.6846905,0.1245451,0.4604226,0.0874606,-0.0927223,0.1498072,0.0927223,0.1238743,0.144174,-0.0001091,0.6481583,-0.0951854,3.0755618,9.7227488,1.9866081,0.4615846,0.0728982,0.28646852,0.552272727,39.37626263,4.866161616,0.201661332,0.002646414,0.051443305,0.915951959
"35218","Carolina Gold","Santee_Gold",200,"3",4.944124323,89,35.8097305,-0.7454874,1.0554847,0.9622821,0.7454874,5.9097733,0.5040978,7.749989,0.4746792,2.0419989,0.0676461,-0.5897489,0.5892678,0.5897489,-0.0015455,0.742494,-0.0006021,0.2588475,-0.3276038,26.8681297,46.6348152,1.7827389,0.9273374,0.5026884,0.225911524,1,23.77272727,3.823863636,0.235102826,0.003595526,0.059962701,0.906177536
"33801","IAC600","Tiara",150,"3",7.96967604,68,36.7195091,-0.3195883,0.1910825,0.3627458,0.3195883,0.942035,0.1156786,3.3607142,0.1068854,0.2619465,0.2218522,0.1049374,0.0395052,-0.1049374,0.3361722,-0.1446913,0.0012781,0.6136054,0.1527618,1.5737343,7.3441482,2.3985453,0.2220832,0.0900664,0.519052011,0,101.3617571,8.431524548,0.120674914,0.002029793,0.045053219,0.707841604
"35162","Santee Gold","Santee_Gold",75,"2",10.12341001,90,30.8757839,-0.5855934,0.3937807,0.7099587,0.5855934,2.8440359,0.227928,3.7795379,0.2138675,0.5919898,0.0943315,0.0505961,0.1568774,-0.0505961,0.5195111,-0.0606043,0.0001337,0.3501857,0.0450438,3.4786828,16.9278831,4.2796736,0.551015,0.1511081,0.172670767,1,41.07848837,5.043604651,0.176594004,0.002733741,0.052285191,0.811334407
"35197","Carolina Gold","Santee_Gold",200,"1",3.745374922,89,32.2420197,-0.733516,0.689357,0.9236047,0.733516,5.584547,0.4224679,4.0566139,0.3110733,1.4758579,0.0464892,-0.3425786,0.4256604,0.3425786,0.215408,0.4346375,-0.0001909,0.3152832,-0.191464,13.7158747,26.0873089,3.2248075,0.8584899,0.2638106,0.210029038,1,43.7979798,5.111111111,0.191722485,0.002809025,0.053000232,0.822759087
"35167","Santee Gold","Santee_Gold",75,"3",11.02964162,90,31.6281338,-0.5235638,0.433945,0.7912247,0.5235638,2.2901828,0.2654234,3.5820978,0.1822565,0.7376868,0.0649345,-0.2172952,0.2686871,0.2172952,0.1155729,0.3143287,-0.0001911,0.5099677,-0.1862147,5.2835526,14.6191845,2.0816503,0.6593848,0.118808,0.298915669,0.934090909,58.47727273,6.103535354,0.167585554,0.002432787,0.049323295,0.784267508
"33823","Sierra","Tiara",200,"2",8.124538403,87,29.0369415,-0.8211123,0.2117829,0.9686155,0.8211123,9.2084064,0.6727058,0.5200661,0.0859244,4.1216159,0.0061374,-0.5158813,0.4377837,0.5158813,-0.1831558,0.7947714,-3.3e-06,0.4628324,-0.3416454,31.9967499,5.7441339,3.2625463,0.9391488,0.0760198,0.277417079,1,34.28488372,4.668604651,0.187981553,0.002911202,0.053955556,0.854012794
"35155","RoyJ","Santee_Gold",75,"1",14.62588982,82,30.0499496,-0.7433037,0.5402239,0.940655,0.7433037,5.9646258,0.4853285,2.6731558,0.2313388,1.9261849,0.0280135,-0.4393756,0.4725499,0.4393756,0.0861823,0.5731617,-8.16e-05,0.3270064,-0.2563196,18.6649055,17.9413738,2.6793346,0.8885896,0.1963033,0.152023225,1,30.34347532,4.374577417,0.203690129,0.002412408,0.049116269,0.776462196
"35755","XP753","Hybrid_XP753",130,"1",14.48152338,79,29.6358242,-0.6095484,0.5230994,0.827094,0.6095484,3.5529878,0.3517859,2.7841673,0.2173612,1.1800672,0.0577534,-0.2276633,0.2506537,0.2276633,0.0497829,0.3484615,-0.0001252,0.5685658,-0.1709104,7.919394,17.3865891,2.7163413,0.7180702,0.1722368,0.163818875,0.927941176,15.96130031,2.8374613,0.341091231,0.004966261,0.070471701,0.961981539
"35214","Carolina Gold","Santee_Gold",200,"3",7.05197315,88,31.9684601,-0.6760615,0.5795514,0.8713164,0.6760615,4.3274803,0.3336758,4.5060301,0.2759541,1.0161018,0.0604632,-0.2120926,0.354145,0.2120926,0.3638846,0.2597975,-0.0002262,0.3025037,-0.1314991,8.4090614,23.1327438,3.4478095,0.7735742,0.2082509,0.235360539,1,23.59883721,3.901162791,0.222850171,0.002873175,0.053602003,0.940876272
"33777","Tiara","Tiara",75,"3",6.613196455,70,31.4609928,-0.5505421,0.3725305,0.7605751,0.5505421,2.4723532,0.2168268,3.669461,0.1759033,0.5573815,0.0627071,-0.1033716,0.254651,0.1033716,0.3695379,0.1293015,-0.0001421,0.3757805,-0.0809149,4.3434134,13.8671188,2.8285532,0.6159928,0.1039398,0.173149524,0.984090909,99.03535354,8.54040404,0.089154357,0.001782344,0.042217812,0.774999185
"33826","IAC600","Tiara",200,"3",6.971674147,67,30.728672,-0.6084576,0.4053428,0.8002492,0.6084576,3.1649652,0.2698314,2.9554782,0.1858226,0.7472497,0.0526949,-0.1182328,0.2515332,0.1182328,0.3212341,0.151063,-9.63e-05,0.407575,-0.0810922,5.5229025,14.4515972,3.2808893,0.6711547,0.1235846,0.138569887,0.986363636,36.32828283,4.595959596,0.210349724,0.002706994,0.052028782,0.878774183
"33828","Scarlett","Tiara",200,"3",12.72165632,84,34.6218147,-0.7641588,0.8072636,0.9505392,0.7641588,6.5151262,0.551964,3.9901843,0.3499636,2.4728827,0.0432769,-0.4601833,0.4603288,0.4601833,0.0005471,0.6297227,-0.000186,0.3700285,-0.291507,20.4021397,30.0250397,2.7912102,0.9057829,0.3533889,0.398902979,1,18.68965517,3.431673052,0.244897576,0.002681299,0.051781262,0.870361556
